Timestamp,CleanedTImestamp,Team,Player Number,Event Type,Possession Start?,Possession Start?,Possession End?,Shot Attempt?,Shot Outcome,Kick-out?,Kick-out Winner (Team),Turnover?,Score Value,Galway Goals,Galway Points,Cork Goals,Cork Points,Total Score for Cork,Total Score for Galway,Total Possession Count for Cork(auto-calculated),Total Possession Count for Galway(auto-calculated),Productivity for Cork (auto-calculated),Productivity for Galway (auto-calculated),Notes
19:13,00:19:13,Galway,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,No,"0.03, 0.02",0,0,0,0,3,,6,1,5,,Galway restarts after Cork point
19:11,00:19:11,Galway,4,Possession,No,0,No,No,N/A,No,N/A,No,"0.03, 0.02",0,0,0,0,3,,6,0,5,,Galway player caught the ball from GK
18:12,00:18:12,Galway,15,Shot,No,0,Yes,Yes,Missed Goal,Yes,N/A,No,"0.03, 0.02",0,0,0,0,3,,6,0,5,,Galway attempted goal shot; missed net
17:50,00:17:50,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,No,"0.03, 0.02",0,0,0,0,3,,6,0,5,,Cork restart after Galway missed goal
17:46,00:17:46,Galway,14,Possession,Yes,1,No,No,N/A,No,N/A,Yes,"0.03, 0.02",0,0,0,0,3,,7,1,4.285714286,,Galway intercepted Cork's kick-out
17:38,00:17:38,Cork,15,Turnover,Yes,1,No,No,N/A,No,N/A,Yes,"0.03, 0.02",0,0,0,0,3,,7,0,4.285714286,,Cork gained possession from Galway turnover
17:31,00:17:31,Galway,9,Turnover,Yes,1,No,No,N/A,No,N/A,Yes,"0.03,0.02",0,0,0,0,3,,8,1,3.75,,Galway gained possession from Cork turnover
17:25,00:17:25,Cork,5,Foul Committed,No,0,No,No,N/A,No,N/A,No,"0.03,0.02",0,0,0,0,3,,8,0,3.75,,Cork foul on Galway; free awarded to Galway
16:35,00:16:35,Galway,15,Free Kick,No,0,Yes,Yes,Goal,Yes,N/A,No,"0.03, 1.02",1,0,0,0,3,,8,0,3.75,,Galway scored goal from a free kick
16:17,00:16:17,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Cork,No,"0.03, 1.02",0,0,0,0,3,,8,0,3.75,,Kick-out after Galway goal
16:16,00:16:16,Cork,9,Possession,No,0,No,No,N/A,No,N/A,No,"0.03, 1.02",0,0,0,0,3,,8,0,3.75,,Cork player caught the ball from GK
15:56,00:15:56,Galway,12,Turnover,Yes,1,No,No,N/A,No,N/A,Yes,"0.03, 1.02",0,0,0,0,3,,9,1,3.333333333,,Galway gained possession from Cork turnover
15:15,00:15:15,Galway,15,Long Kick,No,0,Yes,No,N/A,No,N/A,,"0.03, 1.02",0,0,0,0,3,,9,0,3.333333333,,Galway player sent a long ball forward
15:09,00:15:09,Cork,Goal Keeper,Turnover,Yes,1,No,No,N/A,No,N/A,Yes,"0.03, 1.02",0,0,0,0,3,,9,0,3.333333333,,Cork goalkeeper caught Galway's long kick
15:01,00:15:01,Galway,4,Turnover,Yes,1,No,No,N/A,No,N/A,Yes,"0.03, 1.02",0,0,0,0,3,,10,1,3,,Galway wins back possession from Cork
14:13,00:14:13,Galway,10,Shot Attempt,No,0,Yes,Yes,Unsuccessful wide,No,N/A,No,"0--03,1--02",0,0,0,0,3,,10,0,3,,Shot went wide
13:56,00:13:56,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Cork,No,"0--03,1--02",0,0,0,0,3,,10,0,3,,Cork Keeper Kick out
13:51,00:13:51,Cork,12,Pass,No,0,No,No,N/A,No,N/A,No,"0--03,1--02",0,0,0,0,3,,10,0,3,,Player 12 caught kick-out
